TREEID,FAMILY,TAXA,COMMON_NAME,TAG,TAGID,LIVE_TREE,DBH,THEIGHT,HEIGHT_LIVETOP,HEIGHT_LIVEBASE,CROWNWIDTH1,CROWNWIDTH2,CANOPYMISSING,CROWN_LIGHTEXP,NUM_STEMS,TEAM,TREE_TYPE,DATE_MEASURE,TREE_ID_YR,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
3307,,Quercus robur 'Fastigiata',,,,,,,,,,,,,,,,,,,PLAN,20190614175811,PLAN,20190614175811
3314,,Cedrus atlantica *,,,,,,,,,,,,,,,,,,,PLAN,20190614175811,PLAN,20190614175811
3317,,PInus nigra,,,,,,,,,,,,,,,,,,,PLAN,20190614175811,PLAN,20190614175811
3080,,Prunus yedoenisis 'Akebono',,,,,,,,,,,,,,,,,,,PLAN,20190614175816,PLAN,20190614175816
3081,,Prunus yedoenisis 'Akebono',,,,,,,,,,,,,,,,,,,PLAN,20190614175817,PLAN,20190614175817
3082,,Prunus yedoenisis 'Akebono',,,,,,,,,,,,,,,,,,,PLAN,20190614175817,PLAN,20190614175817
3083,,Prunus yedoenisis 'Akebono',,,,,,,,,,,,,,,,,,,PLAN,20190614175817,PLAN,20190614175817
3084,,Prunus yedoenisis 'Akebono',,,,,,,,,,,,,,,,,,,PLAN,20190614175817,PLAN,20190614175817
3092,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175817,PLAN,20190614175817
3095,,Cercis silaquastrum,,,,,,,,,,,,,,,,,,,PLAN,20190614175817,PLAN,20190614175817
3096,,Ulmus glabra 'Camperdownii',,,,,,,,,,,,,,,,,,,PLAN,20190614175817,PLAN,20190614175817
3101,,Laburnum x watereri 'Vossii',,,,,,,,,,,,,,,,,,,PLAN,20190614175817,PLAN,20190614175817
3104,,Chamaecyparis,,,,,,,,,,,,,,,,,,,PLAN,20190614175817,PLAN,20190614175817
3106,,Chamaecyparis pisifera 'Filifera',,,,,,,,,,,,,,,,,,,PLAN,20190614175818,PLAN,20190614175818
3112,,Laburnum x watereri 'Vossii',,,,,,,,,,,,,,,,,,,PLAN,20190614175818,PLAN,20190614175818
3115,,Chamaecyparis pisifera squarossa group,,,,,,,,,,,,,,,,,,,PLAN,20190614175818,PLAN,20190614175818
3116,,Chamaecyparis pisifera squarossa group,,,,,,,,,,,,,,,,,,,PLAN,20190614175818,PLAN,20190614175818
5225,,Crataegus lavalleei,,,,,,,,,,,,,,,,,,,PLAN,20190614175816,PLAN,20190614175816
5226,,Crataegus lavalleei,,,,,,,,,,,,,,,,,,,PLAN,20190614175816,PLAN,20190614175816
5236,,Prunus serrulata 'Autumnalis',,,,,,,,,,,,,,,,,,,PLAN,20190614175816,PLAN,20190614175816
3042,,Fraxinus angustifolia 'Raywood',,,,,,,,,,,,,,,,,,,PLAN,20190614175809,PLAN,20190614175809
3043,,Fraxinus angustifolia 'Raywood',,,,,,,,,,,,,,,,,,,PLAN,20190614175809,PLAN,20190614175809
3044,,Fraxinus angustifolia 'Raywood',,,,,,,,,,,,,,,,,,,PLAN,20190614175809,PLAN,20190614175809
3048,,PInus nigra,,,,,,,,,,,,,,,,,,,PLAN,20190614175810,PLAN,20190614175810
3050,,Magnolia soulangeana,,,,,,,,,,,,,,,,,,,PLAN,20190614175810,PLAN,20190614175810
3061,,Prunus yedoenisis 'Akebono',,,,,,,,,,,,,,,,,,,PLAN,20190614175810,PLAN,20190614175810
3062,,Prunus yedoenisis 'Akebono',,,,,,,,,,,,,,,,,,,PLAN,20190614175810,PLAN,20190614175810
3063,,Prunus yedoenisis 'Akebono',,,,,,,,,,,,,,,,,,,PLAN,20190614175810,PLAN,20190614175810
3064,,Prunus yedoenisis 'Akebono',,,,,,,,,,,,,,,,,,,PLAN,20190614175810,PLAN,20190614175810
3065,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175810,PLAN,20190614175810
3073,,Ginko biloba,,,,,,,,,,,,,,,,,,,PLAN,20190614175810,PLAN,20190614175810
5159,,Malus x domestica,,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190614175827
5160,,Malus x domestica,,,,,,,,,,,,,,,,,,,PLAN,20190614175828,PLAN,20190614175828
5161,,Malus x domestica,,,,,,,,,,,,,,,,,,,PLAN,20190614175828,PLAN,20190614175828
4337,,Acer glabrum,,,,,,,,,,,,,,,,,,,PLAN,20190614175828,PLAN,20190614175828
4338,,Acer glabrum,,,,,,,,,,,,,,,,,,,PLAN,20190614175828,PLAN,20190614175828
3117,,Chamaecyparis pisifera squarossa group,,,,,,,,,,,,,,,,,,,PLAN,20190614175818,PLAN,20190614175818
3122,,Chamaecyparis,,,,,,,,,,,,,,,,,,,PLAN,20190614175818,PLAN,20190614175818
3124,,Chamaecyparis,,,,,,,,,,,,,,,,,,,PLAN,20190614175818,PLAN,20190614175818
3125,,Chamaecyparis,,,,,,,,,,,,,,,,,,,PLAN,20190614175818,PLAN,20190614175818
3129,,Acer palmatum var. dissectum 'Atropurpureum',,,,,,,,,,,,,,,,,,,PLAN,20190614175818,PLAN,20190614175818
3131,,Chamaecyparis pisifera 'Filifera',,,,,,,,,,,,,,,,,,,PLAN,20190614175818,PLAN,20190614175818
3132,,Chamaecyparis pisifera squarossa group,,,,,,,,,,,,,,,,,,,PLAN,20190614175818,PLAN,20190614175818
3198,,Cercis canadensis 'Forest Pansy',,,,,,,,,,,,,,,,,,,PLAN,20190614175819,PLAN,20190614175819
3200,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175819,PLAN,20190614175819
3206,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175820,PLAN,20190614175820
3216,,Quercus robur* check,,,,,,,,,,,,,,,,,,,PLAN,20190614175820,PLAN,20190614175820
3226,,Quercus myrsinifolia,,,,,,,,,,,,,,,,,,,PLAN,20190614175820,PLAN,20190614175820
3227,,Quercus myrsinifolia,,,,,,,,,,,,,,,,,,,PLAN,20190614175820,PLAN,20190614175820
3241,,Quercus frainetto 'Forest Green',,,,,,,,,,,,,,,,,,,PLAN,20190614175821,PLAN,20190614175821
3247,,Liquidambar styraciflula,,,,,,,,,,,,,,,,,,,PLAN,20190614175821,PLAN,20190614175821
3252,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175821,PLAN,20190614175821
3276,,PInus nigra,,,,,,,,,,,,,,,,,,,PLAN,20190614175822,PLAN,20190614175822
3279,,PInus nigra,,,,,,,,,,,,,,,,,,,PLAN,20190614175822,PLAN,20190614175822
2970,,Carpinus tchonoskii,,,,,,,,,,,,,,,,,,,PLAN,20190614175823,PLAN,20190614175823
2971,,Carpinus tchonskii,,,,,,,,,,,,,,,,,,,PLAN,20190614175823,PLAN,20190614175823
2989,,Malus crabapple,,,,,,,,,,,,,,,,,,,PLAN,20190614175825,PLAN,20190614175825
2990,,Malus crabapple,,,,,,,,,,,,,,,,,,,PLAN,20190614175825,PLAN,20190614175825
2999,,Crataegus prunifolia,,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190614175826
3000,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190614175826
3001,,Acer rubrum 'Bowhall',,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190614175826
3002,,Acer rubrum 'Bowhall',,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190614175826
3003,,Acer rubrum 'Bowhall',,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190614175826
3004,,Acer rubrum 'Bowhall',,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190614175826
3005,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190614175826
3008,,Trochodendron aralioides,,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190614175826
3009,,Betula pendula 'Dalecarlica',,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190614175826
3010,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190614175826
3011,,Heptacodium miconioides,,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190614175826
3012,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175826,PLAN,20190614175826
3016,,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190614175827
3017,,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190614175827
3018,,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190614175827
3019,,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190614175827
3020,,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190614175827
3021,,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190614175827
3025,,PInus nigra,,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190614175827
