FIELD_TYPE,SURFACE_TYPE,NAME,SHAPE.AREA,SHAPE.LEN
,track,UBC Baseball Facility,2013.57822254,824.9228937362041
,track,UBC Baseball Facility,1033.479879505,256.963543017741
,concrete,Shot put,309.57088056,77.8520634964087
,garden,Wesbrook Community Garden,713.15038314,116.829282068182
,field,UBC Baseball Facility,607.122626205,113.261851893926
,field,Nobel Park Baseball,3073.34791572,315.82538036943504
,field,Varsity Field,8721.687169435001,383.82785865760104
,field,Chris Spencer Field,9056.68555019,389.524711937117
,concrete,Rashpal Dhillon Track & Field Oval,547.07778509,123.255796511072
,concrete,Basketball Court,547.755917425,96.01566302540068
,astro,Ken Woods Field,9546.3963076,402.7281487846
,field,Wolfson Field,8045.07810565,375.303352861393
,track,Nobel Park Baseball,860.63029789,172.04164910418802
,track,Nobel Park Baseball,343.19095599,218.84827114477503
playground,concrete,Mundell Park Playground,130.323549005,43.6305550305881
,field,Wesbrook Community Field,9851.32560903,406.969919322418
,field,Rashpal Dhillon Track & Field Oval,3316.111779115,1158.8669341358002
,concrete,University Square Basketball,340.25432448,83.1875302768961
playground,concrete,Jim Taylor Park Playground,122.08797246499999,39.9513071814977
playground,concrete,St Andrew's Playground,107.39824343,44.5997240068361
playground,concrete,Smith Park Playground,339.984458205,72.1465517037401
playground,concrete,Iona Playground,143.981065145,50.439416076600295
playground,concrete,Acadia Park Playground,342.777364965,71.8932959067833
playground,concrete,Hawthorn Park Playground,115.061711565,40.8478069725085
playground,concrete,East Campus Park Playground,290.93064797,63.17988488363359
playground,concrete,Brockhouse Park Playground,769.9725469050001,129.675640207457
,astro,David Sidoo Field,11854.540052235001,481.963507989196
,field,Thunderbird Stadium,8062.96652795,966.16412759798
,astro,Totem Basketball,465.559562535,92.24176874280839
,,Totem Basketball,193.36270864500003,197.81918772224603
,astro,Totem Tennis,272.72581046,71.1203976982406
,,Totem Tennis,448.72087227500003,268.41724196775505
,field,Arthur Lord Field,7942.01460602,370.09147982423104
,field,MacInnes Field,4984.531012165,296.83968345909904
,astro,Harry Warren Field,7820.98247801,360.94101966164305
,field,Frank Buck Field,7978.54504831,370.76641996098004
,astro,Totem Tennis,272.72581046,71.1203976982406
,astro,Outdoor Tennis,260.61412931,69.58551328252729
,track,Outdoor Tennis,359.86590177,177.156095866116
playground,concrete,Eagles Park Playground,58.064049315000005,27.0464828955332
,track,Rashpal Dhillon Track & Field Oval,7386.9764938,867.9808710795791
,field,UBC Baseball Facility,9608.28461089,557.1881918979311
,field,Soccer Field,9526.4725985,398.034090167412
,field,Rashpal Dhillon Track & Field Oval,8100.549986485,375.31936585227
playground,concrete,Khorana Park Playground,337.31840929,73.714525601637
playground,concrete,Hawthorn Park Playground,129.26564342499998,42.259407427648696
playground,concrete,Nobel Park Playground,492.65017003,88.12086720289679
,astro,Harold Wright Field,6531.66496154,331.24194997368704
,garden,Hawthorn Community Garden,857.81090384,146.701742119241
,garden,Gas Gun Community Garden,280.2133972,85.9437166965581
,garden,Acadia Community Garden,945.0426333,119.473066205717
green pattern2,farm,UBC Farm,3678.22095864,251.90707975594202
green pattern2,farm,UBC Farm,7584.8041244,382.87979495563803
green pattern1,farm,UBC Farm,1591.0043907,189.257473624541
brown pattern1,farm,UBC Farm,3116.00445645,229.601767686202
brown pattern1,farm,UBC Farm,2332.54299264,194.221562264085
brown flat,farm,UBC Farm,1508.402711425,165.912556912458
brown flat,farm,UBC Farm,4998.81163067,331.93283970149804
brown pattern1,farm,UBC Farm,5036.713294515,323.660686551855
green pattern2,farm,UBC Farm,8269.151818205,377.298741182309
brown pattern2,farm,UBC Farm,4694.28740682,317.159746647792
brown pattern1,farm,UBC Farm,5585.44069059,313.418715106315
brown pattern2,farm,UBC Farm,4270.444222505001,298.03058910004603
green pattern2,farm,UBC Farm,1383.986408055,152.103188217328
green pattern2,farm,UBC Farm,614.36319578,99.1460392451685
brown pattern2,farm,UBC Farm,2660.6411261,206.69666783132303
,concrete,UBC Skate Park,890.825419795,125.359292717209
,concrete,Acadia Basketball Court,197.884125475,58.056986758753396
,track,Vanier Tennis,730.53690612,282.095840460198
,astro,Vanier Tennis,264.37857631,70.178595800995
,astro,Vanier Tennis,262.73397249,69.9420766479477
,track,UBC Baseball Facility,22.76295922,16.914024204841898
