TAG,COMMON_NAM,GENUS,SPECIES,UPDATED,CULTIVAR,VAR,FORMA,SUBSP,SHYBRID,CONDITION,SIGNIFICANT,HAZARDS,DBH,NOTES,LAT,LONG
8709,,Cornus,,20100316,,,,,,,,,,,49.26754125675315,-123.26019382818333
8737,,Magnolia,,20100316,,,,,,,,,,,49.26784152144613,-123.26037029929552
8733,,Larix,,20100316,,,,,,,,,,,49.26789429329815,-123.26017318824606
8734,,Picea,,20100316,,,,,,,,,,,49.267903585884696,-123.26016975528917
8735,,Larix,,20100316,,,,,,,,,,,49.26792189894052,-123.2601910572861
8777,,Chamaecyparis,,20100316,,,,,,,,,,,49.26845860606219,-123.26085378462164
8785,,Chamaecyparis,,20100316,,,,,,,,,,,49.2683666918509,-123.26097658757153
8788,,Chamaecyparis,,20100316,,,,,,,,,,,49.268323794598544,-123.26099052375984
8790,,Chamaecyparis,,20100316,,,,,,,,,,,49.2682958489832,-123.26101928131813
8792,,Laburnum,,20100316,,,,,,,,,,,49.26826232792066,-123.26104096463766
8796,,Chamaecyparis,,20100316,,,,,,,,,,,49.268174663600405,-123.26127961220875
8797,,Chamaecyparis,,20100316,,,,,,,,,,,49.26815607926232,-123.26128647774607
8798,,Chamaecyparis,,20100316,,,,,,,,,,,49.268164068176404,-123.26133011094839
6810,,Pinus,,20100316,,,,,,,,,,,49.26658036340036,-123.25919714180189
6748,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.26732894008676,-123.25951868850738
6758,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.26738070470292,-123.25953676617101
6763,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.2672993206655,-123.2594349691374
6759,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.26736994055724,-123.25946368438767
6764,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.26724613332421,-123.25948484264447
6766,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.26712851990656,-123.25953415956273
6767,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.26710498024924,-123.25952458736053
6770,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.267068847592746,-123.25952929952722
6771,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.26707869274536,-123.25950451698394
9518,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.26586055750222,-123.25926567556736
9517,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.265895858049966,-123.25929946634737
9501,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.26582305142903,-123.25956518883258
6860,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.267148357953815,-123.25875087858537
9991788,,,,20100316,,,,,,,,,,,49.27155292828113,-123.25681798013642
9991789,,,,20100316,,,,,,,,,,,49.27151704243994,-123.25636407402654
6213,,,,20100316,,,,,,,,,,,49.27140850478389,-123.25631164214838
6199,,,,20100316,,,,,,,,,,,49.27121137798153,-123.255898726972
9859,,Cotinus,,20100316,,,,,,,,,,,49.269069261573684,-123.24971618611241
9797,,Cotinus,,20100316,,,,,,,,,,,49.26920234200198,-123.25010423921789
